"genome"	"Relative_abundance"	"Completeness"	"Contamination"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"Family_genus"	"Family_genus_bin"	"3-Hydroxypropionate bi-cycle"	"Acetyl-CoA pathway, CO2 => acetyl-CoA"	"Citrate cycle (TCA cycle, Krebs cycle)"	"Dicarboxylate-hydroxybutyrate cycle"	"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"	"Glyoxylate cycle"	"Hydroxypropionate-hydroxybutylate cycle"	"Methanogenesis, CO2 => methane"	"Pentose phosphate pathway (Pentose phosphate cycle)"	"Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)"	"Reductive citrate cycle (Arnon-Buchanan cycle)"	"Reductive pentose phosphate cycle (Calvin cycle)"	"Complex I: NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria"	"Complex I: NADH dehydrogenase (ubiquinone) 1 alpha subcomplex"	"Complex I: NADH:quinone oxidoreductase, prokaryotes"	"Complex II: Fumarate reductase, prokaryotes"	"Complex II: Succinate dehydrogenase (ubiquinone)"	"Complex II: Succinate dehydrogenase, prokaryotes"	"Complex III: Cytochrome bc1 complex"	"Complex III: Cytochrome bc1 complex respiratory unit"	"Complex III: Cytochrome bd ubiquinol oxidase"	"Complex IV High affinity: Cytochrome bd ubiquinol oxidase"	"Complex IV High affinity: Cytochrome c oxidase, cbb3-type"	"Complex IV Low affinity: Cytochrome aa3-600 menaquinol oxidase"	"Complex IV Low affinity: Cytochrome c oxidase"	"Complex IV Low affinity: Cytochrome c oxidase, prokaryotes"	"Complex IV Low affinity: Cytochrome o ubiquinol oxidase"	"Complex V: F-type ATPase, eukaryotes"	"Complex V: F-type ATPase, prokaryotes and chloroplasts"	"Complex V: V-type ATPase, eukaryotes"	"Complex V: V/A-type ATPase, prokaryotes"	"CAZy: Alpha-galactans"	"CAZy: Alpha-mannan"	"CAZy: Amorphous Cellulose"	"CAZy: Arabinan"	"CAZy: Arabinose cleavage"	"CAZy: Beta-galactan (pectic galactan)"	"CAZy: Beta-mannan"	"CAZy: Chitin"	"CAZy: Crystalline Cellulose"	"CAZy: Fucose Cleavage"	"CAZy: Mixed-Linkage glucans"	"CAZy: Mucin"	"CAZy: Pectin"	"CAZy: Polyphenolics"	"CAZy: Rhamnose cleavage"	"CAZy: Starch"	"CAZy: Sulf-Polysachharides"	"CAZy: Xylans"	"CAZy: Xyloglucan"	"Methanogenesis and methanotrophy: Key functional gene"	"Methanogenesis and methanotrophy: acetate => methane, pt 1"	"Methanogenesis and methanotrophy: acetate => methane, pt 2"	"Methanogenesis and methanotrophy: acetate => methane, pt 3"	"Methanogenesis and methanotrophy: dimethylamine => monomethylamine"	"Methanogenesis and methanotrophy: methane => methanol, with oxygen (mmo)"	"Methanogenesis and methanotrophy: methane => methanol, with oxygen (pmo)"	"Methanogenesis and methanotrophy: methanol => methane"	"Methanogenesis and methanotrophy: monomethylamine => ammonia"	"Methanogenesis and methanotrophy: putative but not defining CO2 => methane"	"Methanogenesis and methanotrophy: trimethylamine => dimethylamine"	"Nitrogen metabolism: Bacterial (aerobic-specific) ammonia oxidation"	"Nitrogen metabolism: Bacterial (anaerobic-specific) ammonia oxidation"	"Nitrogen metabolism: Bacterial/Archaeal ammonia oxidation"	"Nitrogen metabolism: Dissimilatory nitrite reduction to ammonia (DNRA)"	"Nitrogen metabolism: Nitrogen fixation alternative"	"Nitrogen metabolism: ammonia => nitrite"	"Nitrogen metabolism: nitrate => nitrite"	"Nitrogen metabolism: nitric oxide => nitrous oxide"	"Nitrogen metabolism: nitrite => nitric oxide"	"Nitrogen metabolism: nitrite => nitrate"	"Nitrogen metabolism: nitrogen => ammonia"	"Nitrogen metabolism: nitrous oxide => nitrogen"	"Other Reductases: TMAO reductase"	"Other Reductases: arsenate reduction, pt 1"	"Other Reductases: arsenate reduction, pt 2"	"Other Reductases: mercury reduction"	"Other Reductases: selenate/Chlorate reduction"	"Photosynthesis: Photosystem I"	"Photosynthesis: Photosystem II"	"SCFA and alcohol conversions: Alcohol production"	"SCFA and alcohol conversions: Butyrate, pt 1"	"SCFA and alcohol conversions: Butyrate, pt 2"	"SCFA and alcohol conversions: Propionate, pt 1"	"SCFA and alcohol conversions: Propionate, pt 2"	"SCFA and alcohol conversions: acetate, pt 1"	"SCFA and alcohol conversions: acetate, pt 2"	"SCFA and alcohol conversions: acetate, pt 3"	"SCFA and alcohol conversions: lactate D"	"SCFA and alcohol conversions: lactate L"	"SCFA and alcohol conversions: pyruvate => acetyl CoA v1"	"SCFA and alcohol conversions: pyruvate => acetyl CoA v2"	"SCFA and alcohol conversions: pyruvate => acetylCoA f+ formate v3"	"Sulfur metabolism: Thiosulfate oxidation by SOX complex, thiosulfate => sulfate"	"Sulfur metabolism: dissimilatory sulfate reduction (and oxidation) sulfate => sulfide"	"Sulfur metabolism: tetrathionate => thiosulfate"	"Sulfur metabolism: thiosulfate => sulfite"
"MBSoxNitrifying2mlFrozenRep2_complete.2"	1.2992	99.42	2.8	"d__Bacteria"	"*Chloroflexota*"	"*Anaerolineae*"	"*Aggregatilineales*"	"*Phototrophicaceae*"	"*JAIOHN01*"	"**Unidentified species**"	"*Phototrophicaceae*, *JAIOHN01*"	"*Phototrophicaceae*, *JAIOHN01* (MBSoxNitrifying2mlFrozenRep2_complete.2)"	0	0	1	0.384615384615385	0.75	1	0.6	0.214285714285714	0.25	0.857142857142857	0.142857142857143	0.9	0.727272727272727	0	0	0.928571428571429	0	0	0.75	0	0	0	0	0	0	0.133333333333333	1	0	0	0.875	0	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
"MBSoxNitrifying2mlFrozenRep2_metaMDBG_complete.44"	0.5214	99.1	0.02	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Rhizobiales*"	"*Xanthobacteraceae*"	"*Ga0077548*"	"**Unidentified species**"	"*Xanthobacteraceae*, *Ga0077548*"	"*Xanthobacteraceae*, *Ga0077548* (MBSoxNitrifying2mlFrozenRep2_metaMDBG_complete.44)"	0.75	0	1	0.307692307692308	0	0.888888888888889	0.8	0.142857142857143	0	0.571428571428571	0.428571428571429	0.8	0.818181818181818	0	0.0714285714285714	0.928571428571429	0	0	1	0.222222222222222	1	0.666666666666667	0.666666666666667	1	0	0.2	1	0	0	0.875	0	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
"MBSoxNitrifying2mlFrozenRep2_metaMDBG_complete.50"	0.4811	95.04	0.19	"d__Bacteria"	"*Verrucomicrobiota*"	"*Verrucomicrobiae*"	"*Chthoniobacterales*"	"*Xiphinematobacteraceae*"	"**Unidentified genus**"	"**Unidentified species**"	"*Xiphinematobacteraceae*, **Unidentified genus**"	"*Xiphinematobacteraceae*, **Unidentified genus** (MBSoxNitrifying2mlFrozenRep2_metaMDBG_complete.50)"	0	0	1	0.307692307692308	0.75	0.888888888888889	0.6	0	0	1	0.285714285714286	0.7	0.636363636363636	0	0	0.571428571428571	0	0	0.75	0	0.333333333333333	0	0	0	0	0.133333333333333	1	0	0	0.75	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"MBSoxNitrifying2mlFrozenRep2_metaMDBG_semibin2_4"	1.4066	97.67	2.88	"d__Bacteria"	"*Chloroflexota*"	"*Anaerolineae*"	"*Aggregatilineales*"	"*Phototrophicaceae*"	"**Unidentified genus**"	"**Unidentified species**"	"*Phototrophicaceae*, **Unidentified genus**"	"*Phototrophicaceae*, **Unidentified genus** (MBSoxNitrifying2mlFrozenRep2_metaMDBG_semibin2_4)"	0	0	0.875	0.384615384615385	0.75	1	0.6	0.214285714285714	0.375	0.857142857142857	0.285714285714286	0.8	0.727272727272727	0	0	0.928571428571429	0	0	0.75	0	0	0.666666666666667	0.666666666666667	0.333333333333333	0	0.133333333333333	0.666666666666667	0	0	0.875	0	0	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
"MBSoxNitrifying4mlFreshRep3_complete.10"	1.2573	96.34	0.3	"d__Bacteria"	"*Verrucomicrobiota*"	"*Verrucomicrobiae*"	"*Opitutales*"	"*UBA2995*"	"**Unidentified genus**"	"**Unidentified species**"	"*UBA2995*, **Unidentified genus**"	"*UBA2995*, **Unidentified genus** (MBSoxNitrifying4mlFreshRep3_complete.10)"	0	0	1	0.230769230769231	0.75	0.666666666666667	0.6	0	0	1	0.142857142857143	0.7	0.636363636363636	0	0	0.785714285714286	0	0	0.75	0	0	0.666666666666667	0.666666666666667	0	0	0.133333333333333	0.666666666666667	0	0	0.75	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"MBSoxNitrifying4mlFreshRep3_complete.11"	9.7271	100	0.49	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Rhizobiales*"	"*Xanthobacteraceae*"	"*Nitrobacter*"	"**Unidentified species**"	"*Xanthobacteraceae*, *Nitrobacter*"	"*Xanthobacteraceae*, *Nitrobacter* (MBSoxNitrifying4mlFreshRep3_complete.11)"	0	0	1	0.384615384615385	0.5	0.888888888888889	1	0.142857142857143	0	0.857142857142857	0.285714285714286	0.7	1	0	0.142857142857143	1	0	0	1	0.222222222222222	1	0	0	0	0	0.2	1	0	0.0666666666666667	0.75	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"MBSoxNitrifying4mlFreshRep3_complete.19"	0.6991	95.63	0.15	"d__Bacteria"	"*Planctomycetota*"	"*Planctomycetia*"	"*Gemmatales*"	"*Gemmataceae*"	"**Unidentified genus**"	"**Unidentified species**"	"*Gemmataceae*, **Unidentified genus**"	"*Gemmataceae*, **Unidentified genus** (MBSoxNitrifying4mlFreshRep3_complete.19)"	0	0	1	0.538461538461538	0.75	0.666666666666667	0.6	0.0714285714285714	0.375	1	0.285714285714286	0.9	0.454545454545455	0	0	0.785714285714286	0	0	0.75	0	0	0	0	0	0	0.133333333333333	0.666666666666667	0	0	0.875	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
"MBSoxNitrifying4mlFreshRep3_complete.2"	0.9069	100	1.59	"d__Bacteria"	"*Bacteroidota*"	"*Bacteroidia*"	"*Chitinophagales*"	"*Chitinophagaceae*"	"*Flavitalea*"	"**Unidentified species**"	"*Chitinophagaceae*, *Flavitalea*"	"*Chitinophagaceae*, *Flavitalea* (MBSoxNitrifying4mlFreshRep3_complete.2)"	0	0	1	0.384615384615385	0.75	0.888888888888889	0.6	0.214285714285714	0.125	1	0.285714285714286	0.8	0.545454545454545	0	0	0.785714285714286	0	0	0.75	0	0	0	0	0	0	0.133333333333333	0.666666666666667	0	0	0.875	0	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
"MBSoxNitrifying4mlFreshRep3_complete.26"	0.8666	99.85	0.11	"d__Bacteria"	"*Bacteroidota*"	"*Bacteroidia*"	"*Flavobacteriales*"	"*Flavobacteriaceae*"	"*Flavobacterium*"	"**Unidentified species**"	"*Flavobacteriaceae*, *Flavobacterium*"	"*Flavobacteriaceae*, *Flavobacterium* (MBSoxNitrifying4mlFreshRep3_complete.26)"	0	0	0.875	0.307692307692308	0	0.888888888888889	0.4	0.142857142857143	0.125	0.714285714285714	0.285714285714286	0.6	0.727272727272727	0	0	0.769230769230769	0	0	0.75	0	0	0	0	1	0	0.133333333333333	0.666666666666667	0	0	0.75	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.19"	0.4679	99.95	0.42	"d__Bacteria"	"*Bacteroidota*"	"*Bacteroidia*"	"*Flavobacteriales*"	"*Flavobacteriaceae*"	"*Arenibacter*"	"**Unidentified species**"	"*Flavobacteriaceae*, *Arenibacter*"	"*Flavobacteriaceae*, *Arenibacter* (MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.19)"	0	0	0.875	0.384615384615385	0.75	1	0.6	0.142857142857143	0.125	1	0.285714285714286	0.6	0.727272727272727	0	0	0	0	0	0.75	0	0	0	0	1	0	0.133333333333333	0.666666666666667	0	0	0.75	0	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.26"	0.8893	99.14	0	"d__Bacteria"	"*Bacteroidota*"	"*Bacteroidia*"	"*Flavobacteriales*"	"*PHOS-HE28*"	"*PHOS-HE28*"	"*PHOS-HE28 sp019638085*"	"*PHOS-HE28*, *PHOS-HE28*"	"*PHOS-HE28*, *PHOS-HE28* (MBSoxNitrifying4mlFreshRep3_metaMDBG_complete.26)"	0	0	0.875	0.384615384615385	0	0.888888888888889	0.6	0.142857142857143	0.125	0.714285714285714	0.428571428571429	0.7	0.545454545454545	0	0	0.769230769230769	0	0	0.75	0	0	0	0	1	0	0.133333333333333	0.333333333333333	0	0	1	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
