"Sample_name"	"DNA_vs_RNA"	"Time_point"	"Metabolic_treatment"	"Replicate_number"	"kegg_ID"	"TPM"
"Nitrifying_Week4_Aerobic_rep1_RNA"	"RNA"	"Week 4"	"Aerobic"	"1"	"K01915; glutamine synthetase [EC:6.3.1.2]"	177.771
"Nitrifying_Week4_Aerobic_rep2_RNA"	"RNA"	"Week 4"	"Aerobic"	"2"	"K01915; glutamine synthetase [EC:6.3.1.2]"	28.066
"Nitrifying_Week4_Aerobic_rep3_RNA"	"RNA"	"Week 4"	"Aerobic"	"3"	"K01915; glutamine synthetase [EC:6.3.1.2]"	55.45
"Nitrifying_Week4_Ironreduction_rep1_RNA"	"RNA"	"Week 4"	"Iron reduction"	"1"	"K01915; glutamine synthetase [EC:6.3.1.2]"	11.614
"Nitrifying_Week4_Ironreduction_rep2_RNA"	"RNA"	"Week 4"	"Iron reduction"	"2"	"K01915; glutamine synthetase [EC:6.3.1.2]"	644.765
"Nitrifying_Week4_Ironreduction_rep3_RNA"	"RNA"	"Week 4"	"Iron reduction"	"3"	"K01915; glutamine synthetase [EC:6.3.1.2]"	7.661
"Nitrifying_Week4_Nitratereduction_rep1_RNA"	"RNA"	"Week 4"	"Nitrate reduction"	"1"	"K01915; glutamine synthetase [EC:6.3.1.2]"	906.203
"Nitrifying_Week4_Nitratereduction_rep2_RNA"	"RNA"	"Week 4"	"Nitrate reduction"	"2"	"K01915; glutamine synthetase [EC:6.3.1.2]"	486.683
"Nitrifying_Week4_Sulphatereduction_rep1_RNA"	"RNA"	"Week 4"	"Sulphate reduction"	"1"	"K01915; glutamine synthetase [EC:6.3.1.2]"	106.781
"Nitrifying_Week4_Sulphatereduction_rep2_RNA"	"RNA"	"Week 4"	"Sulphate reduction"	"2"	"K01915; glutamine synthetase [EC:6.3.1.2]"	525.503
"Nitrifying_Week8_Aerobic_rep1_RNA"	"RNA"	"Week 8"	"Aerobic"	"1"	"K01915; glutamine synthetase [EC:6.3.1.2]"	33.739
"Nitrifying_Week8_Aerobic_rep2_RNA"	"RNA"	"Week 8"	"Aerobic"	"2"	"K01915; glutamine synthetase [EC:6.3.1.2]"	25.924
"Nitrifying_Week8_Aerobic_rep3_RNA"	"RNA"	"Week 8"	"Aerobic"	"3"	"K01915; glutamine synthetase [EC:6.3.1.2]"	26.606
"Nitrifying_Week8_Ironreduction_rep3_RNA"	"RNA"	"Week 8"	"Iron reduction"	"3"	"K01915; glutamine synthetase [EC:6.3.1.2]"	8.386
"Nitrifying_Week8_Nitratereduction_rep1_RNA"	"RNA"	"Week 8"	"Nitrate reduction"	"1"	"K01915; glutamine synthetase [EC:6.3.1.2]"	876.503
"Nitrifying_Week8_Nitratereduction_rep2_RNA"	"RNA"	"Week 8"	"Nitrate reduction"	"2"	"K01915; glutamine synthetase [EC:6.3.1.2]"	84.109
"Nitrifying_Week8_Sulphatereduction_rep1_RNA"	"RNA"	"Week 8"	"Sulphate reduction"	"1"	"K01915; glutamine synthetase [EC:6.3.1.2]"	23.265
"Nitrifying_Week8_Sulphatereduction_rep2_RNA"	"RNA"	"Week 8"	"Sulphate reduction"	"2"	"K01915; glutamine synthetase [EC:6.3.1.2]"	537.912
"Nitrifying_Week8_Sulphatereduction_rep3_RNA"	"RNA"	"Week 8"	"Sulphate reduction"	"3"	"K01915; glutamine synthetase [EC:6.3.1.2]"	229.383
"Nitrifying_Day0_rep1_DNA"	"DNA"	"Week 0"	"Inoculum"	"1"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	186.095
"Nitrifying_Day0_rep2_DNA"	"DNA"	"Week 0"	"Inoculum"	"2"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	179.531
"Nitrifying_Day0_rep3_DNA"	"DNA"	"Week 0"	"Inoculum"	"3"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	178.999
"Nitrifying_Week4_Aerobic_rep1_DNA"	"DNA"	"Week 4"	"Aerobic"	"1"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	784.797
"Nitrifying_Week4_Aerobic_rep2_DNA"	"DNA"	"Week 4"	"Aerobic"	"2"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	472.212
"Nitrifying_Week4_Aerobic_rep3_DNA"	"DNA"	"Week 4"	"Aerobic"	"3"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	567.249
"Nitrifying_Week4_Ironreduction_rep1_DNA"	"DNA"	"Week 4"	"Iron reduction"	"1"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	207.247
"Nitrifying_Week4_Ironreduction_rep2_DNA"	"DNA"	"Week 4"	"Iron reduction"	"2"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	177.191
"Nitrifying_Week4_Ironreduction_rep3_DNA"	"DNA"	"Week 4"	"Iron reduction"	"3"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	191.159
"Nitrifying_Week4_Nitratereduction_rep1_DNA"	"DNA"	"Week 4"	"Nitrate reduction"	"1"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	210.389
"Nitrifying_Week4_Nitratereduction_rep2_DNA"	"DNA"	"Week 4"	"Nitrate reduction"	"2"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	201.635
"Nitrifying_Week4_Sulphatereduction_rep1_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"1"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	237.648
"Nitrifying_Week4_Sulphatereduction_rep2_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"2"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	216.974
"Nitrifying_Week4_Sulphatereduction_rep3_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"3"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	220.68
"Nitrifying_Week8_Aerobic_rep1_DNA"	"DNA"	"Week 8"	"Aerobic"	"1"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	375.118
"Nitrifying_Week8_Aerobic_rep2_DNA"	"DNA"	"Week 8"	"Aerobic"	"2"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	336.22
"Nitrifying_Week8_Aerobic_rep3_DNA"	"DNA"	"Week 8"	"Aerobic"	"3"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	439.043
"Nitrifying_Week8_Ironreduction_rep1_DNA"	"DNA"	"Week 8"	"Iron reduction"	"1"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	221.134
"Nitrifying_Week8_Ironreduction_rep2_DNA"	"DNA"	"Week 8"	"Iron reduction"	"2"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	217.138
"Nitrifying_Week8_Ironreduction_rep3_DNA"	"DNA"	"Week 8"	"Iron reduction"	"3"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	195.309
"Nitrifying_Week8_Nitratereduction_rep1_DNA"	"DNA"	"Week 8"	"Nitrate reduction"	"1"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	206.811
"Nitrifying_Week8_Nitratereduction_rep2_DNA"	"DNA"	"Week 8"	"Nitrate reduction"	"2"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	207.708
"Nitrifying_Week8_Nitratereduction_rep3_DNA"	"DNA"	"Week 8"	"Nitrate reduction"	"3"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	169.971
"Nitrifying_Week8_Sulphatereduction_rep1_DNA"	"DNA"	"Week 8"	"Sulphate reduction"	"1"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	226.284
"Nitrifying_Week8_Sulphatereduction_rep2_DNA"	"DNA"	"Week 8"	"Sulphate reduction"	"2"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	211.458
"Nitrifying_Week8_Sulphatereduction_rep3_DNA"	"DNA"	"Week 8"	"Sulphate reduction"	"3"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	285.289
"Nitrifying_Day0_rep1_RNA"	"RNA"	"Week 0"	"Inoculum"	"1"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	25.057
"Nitrifying_Day0_rep2_RNA"	"RNA"	"Week 0"	"Inoculum"	"2"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	38.535
"Nitrifying_Day0_rep3_RNA"	"RNA"	"Week 0"	"Inoculum"	"3"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	22.799
"Nitrifying_Week4_Aerobic_rep1_RNA"	"RNA"	"Week 4"	"Aerobic"	"1"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	183.551
"Nitrifying_Week4_Aerobic_rep2_RNA"	"RNA"	"Week 4"	"Aerobic"	"2"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	8.073
"Nitrifying_Week4_Aerobic_rep3_RNA"	"RNA"	"Week 4"	"Aerobic"	"3"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	22.433
"Nitrifying_Week4_Ironreduction_rep1_RNA"	"RNA"	"Week 4"	"Iron reduction"	"1"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	70.739
"Nitrifying_Week4_Ironreduction_rep2_RNA"	"RNA"	"Week 4"	"Iron reduction"	"2"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	308.377
"Nitrifying_Week4_Ironreduction_rep3_RNA"	"RNA"	"Week 4"	"Iron reduction"	"3"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	7.083
"Nitrifying_Week4_Nitratereduction_rep1_RNA"	"RNA"	"Week 4"	"Nitrate reduction"	"1"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	451.795
"Nitrifying_Week4_Nitratereduction_rep2_RNA"	"RNA"	"Week 4"	"Nitrate reduction"	"2"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	172.936
"Nitrifying_Week4_Sulphatereduction_rep1_RNA"	"RNA"	"Week 4"	"Sulphate reduction"	"1"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	103.25
"Nitrifying_Week4_Sulphatereduction_rep2_RNA"	"RNA"	"Week 4"	"Sulphate reduction"	"2"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	222.724
"Nitrifying_Week8_Aerobic_rep1_RNA"	"RNA"	"Week 8"	"Aerobic"	"1"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	4.179
"Nitrifying_Week8_Aerobic_rep2_RNA"	"RNA"	"Week 8"	"Aerobic"	"2"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	6.972
"Nitrifying_Week8_Aerobic_rep3_RNA"	"RNA"	"Week 8"	"Aerobic"	"3"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	5.396
"Nitrifying_Week8_Ironreduction_rep3_RNA"	"RNA"	"Week 8"	"Iron reduction"	"3"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	4.468
"Nitrifying_Week8_Nitratereduction_rep1_RNA"	"RNA"	"Week 8"	"Nitrate reduction"	"1"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	437.433
"Nitrifying_Week8_Nitratereduction_rep2_RNA"	"RNA"	"Week 8"	"Nitrate reduction"	"2"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	20.18
"Nitrifying_Week8_Sulphatereduction_rep1_RNA"	"RNA"	"Week 8"	"Sulphate reduction"	"1"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	20.919
"Nitrifying_Week8_Sulphatereduction_rep2_RNA"	"RNA"	"Week 8"	"Sulphate reduction"	"2"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	237.641
"Nitrifying_Week8_Sulphatereduction_rep3_RNA"	"RNA"	"Week 8"	"Sulphate reduction"	"3"	"K00248; butyryl-CoA dehydrogenase [EC:1.3.8.1]"	248.42
"Nitrifying_Day0_rep1_DNA"	"DNA"	"Week 0"	"Inoculum"	"1"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	279.323
"Nitrifying_Day0_rep2_DNA"	"DNA"	"Week 0"	"Inoculum"	"2"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	291.031
"Nitrifying_Day0_rep3_DNA"	"DNA"	"Week 0"	"Inoculum"	"3"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	287.399
"Nitrifying_Week4_Aerobic_rep1_DNA"	"DNA"	"Week 4"	"Aerobic"	"1"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	289.962
"Nitrifying_Week4_Aerobic_rep2_DNA"	"DNA"	"Week 4"	"Aerobic"	"2"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	317.162
"Nitrifying_Week4_Aerobic_rep3_DNA"	"DNA"	"Week 4"	"Aerobic"	"3"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	261.032
"Nitrifying_Week4_Ironreduction_rep1_DNA"	"DNA"	"Week 4"	"Iron reduction"	"1"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	273.712
"Nitrifying_Week4_Ironreduction_rep2_DNA"	"DNA"	"Week 4"	"Iron reduction"	"2"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	270.917
"Nitrifying_Week4_Ironreduction_rep3_DNA"	"DNA"	"Week 4"	"Iron reduction"	"3"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	279.867
"Nitrifying_Week4_Nitratereduction_rep1_DNA"	"DNA"	"Week 4"	"Nitrate reduction"	"1"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	293.79
"Nitrifying_Week4_Nitratereduction_rep2_DNA"	"DNA"	"Week 4"	"Nitrate reduction"	"2"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	291.369
"Nitrifying_Week4_Sulphatereduction_rep1_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"1"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	270.655
"Nitrifying_Week4_Sulphatereduction_rep2_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"2"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	248.934
"Nitrifying_Week4_Sulphatereduction_rep3_DNA"	"DNA"	"Week 4"	"Sulphate reduction"	"3"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	230.357
"Nitrifying_Week8_Aerobic_rep1_DNA"	"DNA"	"Week 8"	"Aerobic"	"1"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	166.552
"Nitrifying_Week8_Aerobic_rep2_DNA"	"DNA"	"Week 8"	"Aerobic"	"2"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	161.973
"Nitrifying_Week8_Aerobic_rep3_DNA"	"DNA"	"Week 8"	"Aerobic"	"3"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	259.405
"Nitrifying_Week8_Ironreduction_rep1_DNA"	"DNA"	"Week 8"	"Iron reduction"	"1"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	260.45
"Nitrifying_Week8_Ironreduction_rep2_DNA"	"DNA"	"Week 8"	"Iron reduction"	"2"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	271.557
"Nitrifying_Week8_Ironreduction_rep3_DNA"	"DNA"	"Week 8"	"Iron reduction"	"3"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	279.04
"Nitrifying_Week8_Nitratereduction_rep1_DNA"	"DNA"	"Week 8"	"Nitrate reduction"	"1"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	300.639
"Nitrifying_Week8_Nitratereduction_rep2_DNA"	"DNA"	"Week 8"	"Nitrate reduction"	"2"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	289.219
"Nitrifying_Week8_Nitratereduction_rep3_DNA"	"DNA"	"Week 8"	"Nitrate reduction"	"3"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	269.47
"Nitrifying_Week8_Sulphatereduction_rep1_DNA"	"DNA"	"Week 8"	"Sulphate reduction"	"1"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	287.076
"Nitrifying_Week8_Sulphatereduction_rep2_DNA"	"DNA"	"Week 8"	"Sulphate reduction"	"2"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	276.87
"Nitrifying_Week8_Sulphatereduction_rep3_DNA"	"DNA"	"Week 8"	"Sulphate reduction"	"3"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	275.415
"Nitrifying_Day0_rep1_RNA"	"RNA"	"Week 0"	"Inoculum"	"1"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	17.966
"Nitrifying_Day0_rep2_RNA"	"RNA"	"Week 0"	"Inoculum"	"2"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	22.693
"Nitrifying_Day0_rep3_RNA"	"RNA"	"Week 0"	"Inoculum"	"3"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	15.727
"Nitrifying_Week4_Aerobic_rep1_RNA"	"RNA"	"Week 4"	"Aerobic"	"1"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	73.03
"Nitrifying_Week4_Aerobic_rep2_RNA"	"RNA"	"Week 4"	"Aerobic"	"2"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	9.768
"Nitrifying_Week4_Aerobic_rep3_RNA"	"RNA"	"Week 4"	"Aerobic"	"3"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	18.519
"Nitrifying_Week4_Ironreduction_rep1_RNA"	"RNA"	"Week 4"	"Iron reduction"	"1"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	15.821
"Nitrifying_Week4_Ironreduction_rep2_RNA"	"RNA"	"Week 4"	"Iron reduction"	"2"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	325.352
"Nitrifying_Week4_Ironreduction_rep3_RNA"	"RNA"	"Week 4"	"Iron reduction"	"3"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	11.475
"Nitrifying_Week4_Nitratereduction_rep1_RNA"	"RNA"	"Week 4"	"Nitrate reduction"	"1"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	302.419
"Nitrifying_Week4_Nitratereduction_rep2_RNA"	"RNA"	"Week 4"	"Nitrate reduction"	"2"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	245.211
"Nitrifying_Week4_Sulphatereduction_rep1_RNA"	"RNA"	"Week 4"	"Sulphate reduction"	"1"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	111.92
"Nitrifying_Week4_Sulphatereduction_rep2_RNA"	"RNA"	"Week 4"	"Sulphate reduction"	"2"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	331.865
"Nitrifying_Week8_Aerobic_rep1_RNA"	"RNA"	"Week 8"	"Aerobic"	"1"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	8.749
"Nitrifying_Week8_Aerobic_rep2_RNA"	"RNA"	"Week 8"	"Aerobic"	"2"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	12.176
"Nitrifying_Week8_Aerobic_rep3_RNA"	"RNA"	"Week 8"	"Aerobic"	"3"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	11.295
"Nitrifying_Week8_Ironreduction_rep3_RNA"	"RNA"	"Week 8"	"Iron reduction"	"3"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	6.109
"Nitrifying_Week8_Nitratereduction_rep1_RNA"	"RNA"	"Week 8"	"Nitrate reduction"	"1"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	309.208
"Nitrifying_Week8_Nitratereduction_rep2_RNA"	"RNA"	"Week 8"	"Nitrate reduction"	"2"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	28.229
"Nitrifying_Week8_Sulphatereduction_rep1_RNA"	"RNA"	"Week 8"	"Sulphate reduction"	"1"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	30.034
"Nitrifying_Week8_Sulphatereduction_rep2_RNA"	"RNA"	"Week 8"	"Sulphate reduction"	"2"	"K00820; glucosamine---fructose-6-phosphate
aminotransferase (isomerizing) [EC:2.6.1.16]"	291.278
